Titre,Recette,Duree de preparation,Ingrédients ,Calories(kcal),Protéines(g),Lipides(g),Glucides(g),Videos Youtube,Image,Type de cuisine,Cathegorie de cuisine
Avoine trempée,"Mélanger les flocons d’avoine avec le lait, ajouter les fruits et laisser au frais pendant la nuit",15-30 minutes,"Flocons d’avoine, lait (ou yaourt), miel, fruits frais (banane, fraises).",150-200,5,3,30,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.freepik.com%2Fphotos-premium%2Ffarine-avoine-bol-bouillie-avoine-bananes-mures-graines-chia-fond-table-ancienne-beton-gris-vue-dessus-dans-style-plat-ingredients-naturels-petit-dejeuner-chaud-sain-aliments-dietetiques_253362-20257.jpg%3Fw%3D1480&f=1&nofb=1&ipt=6e107d8f17a84297da81df6801b83ce5448e83720dcb1d8918a8a9ee72c4d911&ipo=images,,
Beriouate,"Feuilles de brick, viande hachée (agneau ou bœuf), persil, épices (cannelle, gingembre), amandes (facultatif)",15-30 minutes,"Feuilles de brick, viande hachée (agneau ou bœuf), persil, épices (cannelle, gingembre), amandes (facultatif)",100-150,5-10,5-10,10-15,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fparamourdesbonneschoses.fr%2Fwp-content%2Fuploads%2F2016%2F01%2FDSC_0138_Snapseedgg.jpg&f=1&nofb=1&ipt=72c300bd5888d89da2801eaacba9cf50f711bdb9e7636f02cbb89690eec5d5bd&ipo=images,Marocaine,Traditionnelle
Bissara,"Cuire les fèves, mixer avec l'ail et les épices",1-3 heures," Fèves sèches, ail, huile d’olive, cumin, paprika",150-200,10,5,30,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2020%2F10%2Fbessara-soup-picturepartners-bigstock.jpg&f=1&nofb=1&ipt=1a923e6e58527d0ad26a11acaf92a06f8f6814f7be8885b93a6e512751681d12&ipo=images,Marocaine,Traditionnelle
Bokadio,Cuire la viande avec les oignons et l’ail,30-60 minutes,"Viande de bœuf, oignons, ail, épices (sel, poivre)",200-300,20,10,10,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.pinimg.com%2Foriginals%2F70%2F07%2F0b%2F70070b8992bc97bfd65ffc03178dd2e4.jpg&f=1&nofb=1&ipt=39ea2938a556747aabcf89663b8b3e49adb3aee0c8c2957494f1db17736e5b80&ipo=images,,
Brochettes,Mariner la viande et cuire sur un grill,30-60 minutes,"Viande d’agneau ou de bœuf, huile d’olive, paprika, cumin",250-300 ,20,15,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2017%2F08%2Fliver-kebabs.jpg&f=1&nofb=1&ipt=ee959d1b108725e36ccaa52a288d93eac0c48dc59975e1067ea14a60aa547e80&ipo=images,,
Burger,Cuire la viande et assembler les ingrédients,15-30 minutes,"Pain à burger, viande hachée, fromage, laitue, tomate",500-700,25,25,,,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.club-sandwich.net%2Fimages%2Fphotorecettes%2Fburger-marocain.jpg&f=1&nofb=1&ipt=49361ea55fc0b4fca53f8edb371a59f59deb4fe168ce1c064c7779560bee86f1&ipo=images,,
Buritto,"Faites cuire la viande (bœuf ou poulet) avec des épices (cumin, paprika, ail).
Faites cuire du riz dans de l'eau salée.
Faites chauffer des haricots noirs en conserve ou cuits.
Chauffez une tortilla de blé.
Montez le burrito : placez une portion de viande, de riz, de haricots, du fromage râpé, de la laitue, du guacamole et de la salsa sur la tortilla.
Roulez la tortilla pour former le burrito.",15-30 minutes,,400-600 ,20-30,15-25,40-60,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.thedailymeal.com%2Fsites%2Fdefault%2Ffiles%2F2019%2F10%2F11%2FMAIN-burritos-istock.jpg&f=1&nofb=1&ipt=3047244bc1e3a8f51bb93422b4280cf7191ed3c86304beceb8276196b97e35c2&ipo=images,,
Chakchouka,"Dans une poêle, faites revenir des oignons et des poivrons coupés en lamelles.
Ajoutez des tomates coupées et laissez mijoter jusqu'à ce que la sauce épaississe.
Assaisonnez avec du cumin, du paprika et du piment.
Faites des petits puits dans la sauce et cassez un œuf dans chaque puits.
Couvrez la poêle et laissez cuire jusqu'à ce que les œufs soient cuits selon votre préférence.",15-30 minutes,,200-250 ,10-15,10-15,20-25,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Frecettespratiques.com%2Fwp-content%2Fuploads%2F2022%2F12%2FRecette-Chakchouka-Marocaine-300x200.jpg&f=1&nofb=1&ipt=e36bd5c15ee6ad9e7e951e91e1c14be53a9ee08a9ff79b55ed918a5563cf7a10&ipo=images,Maghrébine,Traditionnelle
Champignons à la crème,"Faites fondre du beurre dans une poêle, puis ajoutez de l'ail émincé et des champignons tranchés.
Faites cuire à feu moyen jusqu'à ce que les champignons rendent leur eau et soient dorés.
Ajoutez de la crème fraîche et laissez mijoter quelques minutes pour épaissir la sauce.
Assaisonnez avec du sel, du poivre et du persil frais haché.",15-30 minutes,,150-200,3-5,10-15,5-7,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.cuisineaz.com%2F660x660%2F2013-12-20%2Fi83457-photo-de-champignons-a-la-creme.jpeg&f=1&nofb=1&ipt=52aa8b7408ce6845284872caed26877b9d0cf23144936cb118bf5dafa934d5a0&ipo=images,,
Chicken & rice,,,,,,,,,,,
Cordon bleu,,,,,,,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcache.cosmopolitan.fr%2Fdata%2Fphoto%2Fw2000_ci%2F5z%2Frecette-cordon-bleu-cyril-lignac.jpg&f=1&nofb=1&ipt=97eb6540c1f219c230a8ee089f316f3e9cb96f2be4a392021a599b3ee5e67bbf&ipo=images,,
Choucroute,"Dans une grande casserole, faites chauffer de l'huile et faites revenir des oignons émincés.
Ajoutez la choucroute et laissez mijoter avec des baies de genièvre et des feuilles de laurier.
Dans une autre poêle, faites cuire les viandes (saucisses, porc, etc.).
Servez la choucroute avec les viandes, et ajoutez des pommes de terre cuites à la vapeur.",1-3 heures,,400-600,25-35 ,20-30,30-40,,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.alsace-terroir.com%2Fmedias%2Fimages%2Frecettes%2F1-choucroute-a-l-alsacienne-1.jpg&f=1&nofb=1&ipt=0dec374bcae8cb371d8f7f8a91609c30e94e7741ad4978eecdb217fe69b9899d&ipo=images,,
Choukrouk,"Faites revenir de la viande (agneau ou poulet) avec des oignons et de l'ail dans une grande casserole.
Ajoutez les légumes coupés (carottes, courgettes) et les pois chiches.
Ajoutez de l'eau ou du bouillon, puis laissez cuire à feu doux.
Ajoutez de la semoule de couscous et laissez cuire jusqu'à ce que tout soit bien cuit.",,,350-450, 20-30 ,10-15 , 50-60 ,,,,
Couscous,"Faites cuire les légumes (carottes, courgettes, navets) dans une grande casserole.
Faites cuire la viande (agneau, poulet ou bœuf) avec des épices comme le cumin et le curcuma.
Ajoutez les pois chiches et l'eau pour créer une base de sauce.
Faites cuire la semoule de couscous en versant un peu d'eau chaude dessus et en l'égrénant à la fourchette.
Servez la semoule avec les légumes, la viande et la sauce.",1-3heures,,400-600 ,25-35,15-25 ,50-60,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi0.wp.com%2Foriginalmoroccanfood.com%2Fassets%2Fimages%2Foriginalmoroccanfood57-1400x928-70.jpg&f=1&nofb=1&ipt=0b6e9a29f4bfa278a5dd7b261dfd6e245f633f3522c7dd7d19db4f59df1c0da1&ipo=images,Maghrébine,Traditionnelle
,,,,,,,,,,,
Crêpes à l'avoine,"Mélangez les flocons d’avoine avec le lait et les œufs. Ajoutez une pincée de sel et, si désiré, un peu de miel pour sucrer. Chauffez une poêle avec un peu d’huile et versez une petite louche de pâte. Faites cuire des deux côtés jusqu’à ce qu'elles soient dorées.",10 minutes,"Flocons d’avoine, lait, œufs, miel",200,8,6,25,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffatsecretfrance.fr%2Fwp-content%2Fuploads%2F2023%2F01%2Fcrepes-aux-flocons-davoine-1024x1024.png&f=1&nofb=1&ipt=42a95d1930c4a0d9fcb0abdf55cd771907a790210f48fbdcc078deeca19c8e53&ipo=images,,
Crevettes pilpil,"Faites chauffer l'huile d'olive dans une poêle, ajoutez l’ail finement haché et laissez infuser. Ajoutez les crevettes décortiquées, assaisonnez avec du paprika et du piment, puis faites-les sauter jusqu'à cuisson complète. Saupoudrez de persil frais avant de servir.",10 minutes,"Crevettes, huile d'olive, ail, paprika, persil",150,15,10,2,,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.lardoisedesarah.com%2Fwp-content%2Fuploads%2F2020%2F04%2Fc1-min-3-min-min.jpg&f=1&nofb=1&ipt=2db7fe094f05c2cb44aec73bdb3b82f71c1af06c84461fd15dfce60b5df25f88&ipo=images,,
Dinde,,,,,,,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn.pratico-pratiques.com%2Fapp%2Fuploads%2Fsites%2F4%2F2020%2F11%2F25123918%2Fdinde-farcie.jpg&f=1&nofb=1&ipt=01cc10ef811d195d0f1f3e1965b2a368acf88dc1a34cf6521a0fd90deeedd35b&ipo=images,,
Dumplings,"Mélangez la viande hachée (ou légumes) avec des épices, de la sauce soja, et de l'ail. Placez une petite cuillerée de farce au centre de chaque pâte à dumpling, pliez et scellez bien. Faites cuire à la vapeur ou faites frire jusqu'à ce qu'ils soient bien dorés.",30-60 minutes,"Pâte dumpling, viande ou légumes, sauce soja, ail",250,10,5,30,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fthestrongtraveller.com%2Fwp-content%2Fuploads%2F2020%2F12%2Fdumpling-2.jpg&f=1&nofb=1&ipt=8b9d81fe3569cda6a6a848cdcd507021df241cbdea854d0ce817905fa44f2c24&ipo=images,,
Emince de poulet champignon,"Faites revenir le poulet coupé en lamelles dans une poêle chaude avec un peu d'huile. Ajoutez les champignons tranchés, puis versez de la crème pour enrober le tout. Laissez mijoter à feu doux jusqu'à ce que la sauce soit bien crémeuse.",15-30 minutes,"Poulet, champignons, crème, huile",200,20,8,5,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.circulaire-en-ligne.ca%2Fwp-content%2Fuploads%2Femince-de-poulet-sauce-cremeuse-champignons.jpg&f=1&nofb=1&ipt=5634b84c2f58104670d5fbf99056f3db5beb72379e48f1e6b56653a8db927af7&ipo=images,,
Escalopes de dinde,"Assaisonnez les escalopes de dinde avec du sel, du poivre et des épices comme le paprika et le thym. Faites chauffer une poêle avec un peu d’huile d'olive, et faites cuire les escalopes jusqu’à ce qu'elles soient bien dorées de chaque côté.",15-30 minutes,"Escalopes de dinde, sel, poivre, paprika, huile d'olive",150,20,5,0,,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.lecoteaudessaveurs.fr.fasterimage.io%2F1398-thickbox_default%2Fescalopes-de-dinde.jpg&f=1&nofb=1&ipt=30de9927589a303cbfbc88c9a1e482df7009966f6a263d4e554b7854d5cac715&ipo=images,,
Fajitas,"Coupez le poulet et les poivrons en lanières, puis faites-les sauter avec des épices (cumin, paprika, poivre). Chauffez les tortillas et garnissez-les de poulet, légumes, fromage râpé et de crème, si désiré. Pliez et servez chaud.",15-30 minutes,"Tortillas, poulet, poivrons, fromage, crème ",300,18,10,35,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn.momsdish.com%2Fwp-content%2Fuploads%2F2021%2F04%2FChicken-Fajitas-011-scaled.jpg&f=1&nofb=1&ipt=54a6553e06cd8ab0ffa87c100d1767a1f5117d8c050e45be7f61dbe532fac875&ipo=images,,
Falafel,"Mixez les pois chiches avec de l’ail, du persil, du cumin et du sel pour obtenir une pâte homogène. Formez des boulettes et faites-les frire dans l’huile jusqu’à ce qu’elles soient dorées et croustillantes.",15-30 minutes,"Pois chiches, ail, persil, cumin, huile",250,10,15,20,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2013%2F10%2F23%2Fdining%2F23JPFLEX2%2F23JPFLEX2-superJumbo.jpg&f=1&nofb=1&ipt=228b656c1234964e1df3664d4ce396a809544af1ee95889aa52c15322d953852&ipo=images,,
