id	Titre	Recette	Duree	Ingredients 	Calories	Proteines	Lipides	Glucides	Youtube	Image	Cuisine	Cathegorie
1	Avoine trempée	Mélanger les flocons d’avoine avec le lait, ajouter les fruits et laisser au frais pendant la nuit	15-30 minutes	Flocons d’avoine, lait (ou yaourt), miel, fruits frais (banane, fraises).	175	5	3	30	NULL	https://lowhistamineeats.com/wp-content/uploads/2021/06/low-histamine-breakfast-feature-768x512.jpg	NULL	NULL
2	Beriouate	Feuilles de brick, viande hachée (agneau ou bœuf), persil, épices (cannelle, gingembre), amandes (facultatif)	15-30 minutes	Feuilles de brick, viande hachée (agneau ou bœuf), persil, épices (cannelle, gingembre), amandes (facultatif)	125	8	8	12	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fparamourdesbonneschoses.fr%2Fwp-content%2Fuploads%2F2016%2F01%2FDSC_0138_Snapseedgg.jpg&f=1&nofb=1&ipt=72c300bd5888d89da2801eaacba9cf50f711bdb9e7636f02cbb89690eec5d5bd&ipo=images	Marocaine	Traditionnelle
3	Bissara	Cuire les fèves, mixer avec l'ail et les épices	1-3 heures	Fèves sèches, ail, huile d’olive, cumin, paprika	175	10	5	30	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2020%2F10%2Fbessara-soup-picturepartners-bigstock.jpg&f=1&nofb=1&ipt=1a923e6e58527d0ad26a11acaf92a06f8f6814f7be8885b93a6e512751681d12&ipo=images	Marocaine	Traditionnelle
4	Bokadio	Cuire la viande avec les oignons et l’ail	30-60 minutes	Viande de bœuf, oignons, ail, épices (sel, poivre)	250	20	10	10	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.pinimg.com%2Foriginals%2F70%2F07%2F0b%2F70070b8992bc97bfd65ffc03178dd2e4.jpg&f=1&nofb=1&ipt=39ea2938a556747aabcf89663b8b3e49adb3aee0c8c2957494f1db17736e5b80&ipo=images	NULL	NULL
5	Brochettes	Mariner la viande et cuire sur un grill	30-60 minutes	Viande d’agneau ou de bœuf, huile d’olive, paprika, cumin	275	20	15	20	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2017%2F08%2Fliver-kebabs.jpg&f=1&nofb=1&ipt=ee959d1b108725e36ccaa52a288d93eac0c48dc59975e1067ea14a60aa547e80&ipo=images	NULL	NULL
6	Burger	Cuire la viande et assembler les ingrédients	15-30 minutes	Pain à burger, viande hachée, fromage, laitue, tomate	600	25	25	45	NULL	https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.club-sandwich.net%2Fimages%2Fphotorecettes%2Fburger-marocain.jpg&f=1&nofb=1&ipt=49361ea55fc0b4fca53f8edb371a59f59deb4fe168ce1c064c7779560bee86f1&ipo=images	NULL	NULL
7	Buritto	Faites cuire la viande (bœuf ou poulet) avec des épices (cumin, paprika, ail). Faites cuire du riz dans de l'eau salée. Faites chauffer des haricots noirs en conserve ou cuits. Chauffez une tortilla de blé. Montez le burrito : placez une portion de viande, de riz, de haricots, du fromage râpé, de la laitue, du guacamole et de la salsa sur la tortilla. Roulez la tortilla pour former le burrito.	15-30 minutes	Viande hachée, Tortilla, Riz, Fromage râpé, Haricots rouges, Tomate, Laitue, Oignon, Poivron, Paprika, Cumin, Chili, Sel, Sauce Guacamole	500	25	20	50	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.thedailymeal.com%2Fsites%2Fdefault%2Ffiles%2F2019%2F10%2F11%2FMAIN-burritos-istock.jpg&f=1&nofb=1&ipt=3047244bc1e3a8f51bb93422b4280cf7191ed3c86304beceb8276196b97e35c2&ipo=images	NULL	NULL
8	Chakchouka	Dans une poêle, faites revenir des oignons et des poivrons coupés en lamelles. Ajoutez des tomates coupées et laissez mijoter jusqu'à ce que la sauce épaississe. Assaisonnez avec du cumin, du paprika et du piment. Faites des petits puits dans la sauce et cassez un œuf dans chaque puits. Couvrez la poêle et laissez cuire jusqu'à ce que les œufs soient cuits selon votre préférence.	15-30 minutes	NULL	225	12	13	23	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Frecettespratiques.com%2Fwp-content%2Fuploads%2F2022%2F12%2FRecette-Chakchouka-Marocaine-300x200.jpg&f=1&nofb=1&ipt=e36bd5c15ee6ad9e7e951e91e1c14be53a9ee08a9ff79b55ed918a5563cf7a10&ipo=images	Maghrébine	Traditionnelle
9	Champignons à la crème	Faites fondre du beurre dans une poêle, puis ajoutez de l'ail émincé et des champignons tranchés. Faites cuire à feu moyen jusqu'à ce que les champignons rendent leur eau et soient dorés. Ajoutez de la crème fraîche et laissez mijoter quelques minutes pour épaissir la sauce. Assaisonnez avec du sel, du poivre et du persil frais haché.	15-30 minutes	NULL	175	4	12	6	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.cuisineaz.com%2F660x660%2F2013-12-20%2Fi83457-photo-de-champignons-a-la-creme.jpeg&f=1&nofb=1&ipt=52aa8b7408ce6845284872caed26877b9d0cf23144936cb118bf5dafa934d5a0&ipo=images	NULL	NULL
10	Chicken & rice	Préparation :  Cuire le riz : Faites cuire le riz dans de l'eau bouillante légèrement salée selon les indications du paquet. Égouttez et réservez au chaud.  Préparer les épinards : Dans une grande casserole, chauffez 1/2 cuillère à soupe d'huile d'olive. Faites-y revenir l'ail émincé brièvement, puis ajoutez les épinards. Assaisonnez de sel et de poivre. Faites cuire 3 à 4 minutes en remuant jusqu'à ce que les épinards soient tendres. Égouttez pour éliminer l'excès de liquide et réservez au chaud.  Cuire le poulet : Assaisonnez l'escalope de poulet avec du sel et du poivre. Dans une poêle, chauffez le reste de l'huile d'olive et faites cuire le poulet à feu moyen-vif, environ 4-5 minutes de chaque côté, jusqu'à ce qu'il soit bien cuit et doré.  Assembler le plat : Disposez les épinards cuits sur une assiette, ajoutez le riz par-dessus, puis placez l'escalope de poulet tranchée. Si désiré, parsemez de copeaux de fromage vieux pour carpaccio.	15-30 minutes	Ingrédients :  1 escalope de poulet (environ 150 g) 100 g de riz basmati 1 cuillère à soupe d'huile d'olive 1 gousse d'ail, émincée 1/2 oignon, émincé 100 g d'épinards frais Sel et poivre, au goût Copeaux de fromage vieux pour carpaccio (optionnel)	568	53	16	51	NULL	https://img.freepik.com/photos-gratuite/pilaf-viande-poulet-cerise-sel-citron-basilic-ail-dans-assiette-bois-morceau-sac_176474-7812.jpg?t=st=1735382003~exp=1735385603~hmac=6fb53f7c78f730305583a0cd7618fa9b5eddb84300e4230bef071a16c59903d1&w=900	NULL	NULL
11	Cordon bleu	Préparation :  Préparer l'escalope : Aplatissez l'escalope entre deux feuilles de film plastique à l'aide d'un maillet ou d'un rouleau à pâtisserie pour obtenir une épaisseur uniforme.  Assembler le cordon bleu : Assaisonnez l'escalope avec du sel et du poivre. Placez la tranche de jambon et le fromage sur une moitié de l'escalope, puis repliez l'autre moitié par-dessus pour enfermer la garniture. Fixez avec des cure-dents si nécessaire.  Paner l'escalope : Préparez trois assiettes : une avec de la farine, une avec l'œuf battu, et une avec de la chapelure. Passez successivement le cordon bleu dans la farine, l'œuf battu, puis la chapelure, en veillant à bien enrober chaque côté.  Cuire : Faites chauffer l'huile ou le beurre dans une poêle à feu moyen. Faites cuire le cordon bleu pendant environ 5 à 7 minutes de chaque côté, jusqu'à ce qu'il soit doré et que la viande soit bien cuite.	15-30 minutes	Ingrédients :  1 escalope de poulet ou de veau (environ 150 g) 1 tranche de jambon blanc 1 à 2 tranches de fromage (emmental, comté ou autre) 1 œuf Farine Chapelure Sel et poivre 1 cuillère à soupe d'huile d'olive ou de beurre pour la cuisson	425	35	20	20	https://youtu.be/XLMR-ASf4KM	https://www.cookingclassy.com/wp-content/uploads/2022/11/chicken-cordon-bleu-2-1024x1536.jpg	NULL	NULL
